scrip,name,ltp,score,band,rsi,stretch_pct,entry,sup,res,bollinger,macd,macd_crossover_risk,health_trend,flow_pressure,data_confidence,navps,witnesses,depth,stack_bucket,stack_win_pct,stack_net_pct,stack_median_pct,stack_n,market_regime,regime_mean_pct,signals,signal_status,net_exp_pct,profit_factor,z,hit_pct,p_up_raw,p_up_cal,base_rate_up,signal_brier,signal_n,tk_hit_pct,tk_net_pct,tk_n,best_sig,best_sig_hit,best_sig_net,best_sig_n,vol_ann_pct,max_dd_5y_pct,var95_daily_pct,beta,crashP_pct,cat,liquidity,updated,history_last_bar
DOREENPWR,Doreen Power Generations and Systems Limited,30.9,29,Weak,37,2.6,IN-ZONE,28.9,33.7,inside bands (-0.8σ),bearish,watch-bullish,deteriorating,neutral,high,52.43,0,0,none,,,,,bull,-0.58,Morning Star,NO-EDGE,-0.3,1.06,-5.0,43.4,0.375,0.333,0.436,0.2393,2362,37.5,-1.13,48,RSI>70 overbought,66.7,0.78,66,36.5,-80.0,-3.08,1.0,3.9,A,unavailable,2026-07-09,2026-07-10
DSHGARME,Desh Garments Ltd.,150.0,1,High risk,54,10.6,fair,145.0,151.8,inside bands (+1.5σ),bullish,none,improving,accumulation,high,157.02,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.481,0.417,0.436,0.2436,2558,48.1,1.58,77,52w-high breakout,55.8,4.88,95,46.9,-77.4,-4.1,1.11,10.4,B,unavailable,2026-07-09,2026-07-10
DSSL,Dragon Sweater and Spinning Limited,13.4,25,Weak,78,33.0,EXTENDED,13.0,13.7,inside bands (+1.4σ),bullish,watch-bearish,stable,accumulation,high,18.18,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.553,0.475,0.436,0.2367,1189,55.3,4.37,38,Stretch<-30% vs MA200,71.7,6.14,106,41.0,-70.1,-3.51,1.16,22.6,B,unavailable,2026-07-09,2026-07-10
DULAMIACOT,Dulamia Cotton Spinning Mills Ltd.,182.8,0,High risk,49,18.4,fair,182.2,186.9,inside bands (+1.6σ),bullish,none,stable,neutral,high,-39.83,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,78.8,8.17,52,46.6,-62.8,-4.24,,15.6,Z,0.1,2026-07-09,2026-07-10
DUTCHBANGL,Dutch-Bangla Bank PLC.,46.5,56,Mixed,74,10.6,EXTENDED,37.2,47.3,inside bands (+1.0σ),bullish,watch-bearish,improving,accumulation,high,62.14,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Three Black Crows,83.3,2.47,30,25.7,-53.3,-1.98,0.56,4.8,A,unavailable,2026-07-09,2026-07-10
EASTERNINS,Eastern Insurance PLC.,60.3,32,Weak,45,4.1,IN-ZONE,58.5,61.5,inside bands (+0.3σ),bearish,watch-bullish,deteriorating,accumulation,high,50.13,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.484,0.417,0.436,0.2436,2558,48.4,0.86,95,RSI<30 oversold,60.0,4.54,135,45.8,-77.8,-3.82,1.02,5.6,A,0.1,2026-07-09,2026-07-10
EASTLAND,Eastland Insurance PLC.,28.5,30,Weak,73,14.3,EXTENDED,27.2,28.7,inside bands (+0.1σ),bearish,watch-bullish,deteriorating,accumulation,high,21.58,0,0,none,,,,,bull,-0.58,52w-high breakout|MACD bull cross|Bullish Engulfing,WORKS,1.28,1.42,4.8,46.6,0.394,0.333,0.436,0.2367,1189,33.3,-4.36,45,RSI<30 oversold,61.6,2.08,138,34.7,-65.2,-3.05,0.9,9.6,A,unavailable,2026-07-09,2026-07-10
EASTRNLUB,Eastern Lubricants Blenders PLC.,1889.0,0,High risk,68,6.6,fair,1782.0,1910.0,inside bands (+1.3σ),bearish,watch-bullish,improving,distribution,high,209.35,0,0,none,,,,,bull,-0.58,MACD bull cross|Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.441,0.417,0.436,0.2436,2558,47.1,2.33,70,52w-high breakout,51.9,6.38,104,36.2,-55.1,-3.03,0.39,5.2,A,unavailable,2026-07-09,2026-07-10
EBL,Eastern Bank PLC.,24.5,80,Strong,40,-2.1,IN-ZONE,24.2,25.4,inside bands (+0.2σ),bullish,none,improving,neutral,high,31.38,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,64.8,1.43,162,17.9,-30.0,-1.5,0.58,2.6,A,unavailable,2026-07-09,2026-07-10
EBL1STMF,EBL First Mutual Fund,4.2,15,High risk,67,8.8,fair,3.9,4.3,inside bands (+1.3σ),bullish,watch-bearish,deteriorating,accumulation,high,7.88,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,83.9,6.95,31,44.2,-72.0,-4.0,1.21,4.9,A,0.9,2026-07-09,2026-07-10
EBLNRBMF,EBL NRB Mutual Fund,3.2,16,High risk,57,2.4,IN-ZONE,3.1,3.3,inside bands (+0.1σ),bearish,none,deteriorating,accumulation,high,8.25,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.376,0.333,0.436,0.2364,4064,37.6,-0.77,93,Stretch<-30% vs MA200,61.9,6.69,63,36.3,-74.1,-3.28,,4.4,A,0.3,2026-07-09,2026-07-10
ECABLES,Eastern Cables Ltd.,148.9,0,High risk,90,19.4,EXTENDED,121.0,149.9,inside bands (+0.8σ),bullish,none,deteriorating,accumulation,high,339.32,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.469,0.417,0.436,0.2436,2558,46.9,1.38,81,Stretch>50% vs MA200,76.9,3.04,91,39.7,-60.3,-3.59,0.91,7.7,B,0.6,2026-07-09,2026-07-10
EGEN,eGeneration PLC.,28.1,13,High risk,71,12.6,EXTENDED,25.3,28.5,inside bands (+0.6σ),bearish,watch-bullish,deteriorating,accumulation,high,23.38,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.364,0.333,0.436,0.2364,4064,36.4,-2.41,33,RSI>70 overbought,56.7,1.15,30,49.3,-74.9,-3.72,1.43,8.7,B,unavailable,2026-07-09,2026-07-10
EHL,Eastern Housing Limited,101.0,10,High risk,86,17.1,EXTENDED,86.5,104.0,inside bands (+1.9σ),bearish,watch-bullish,improving,accumulation,high,89.99,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.407,0.417,0.436,0.2367,1189,40.7,-3.39,54,Stretch<-30% vs MA200,80.3,13.21,66,44.4,-65.4,-3.69,0.79,10.2,A,unavailable,2026-07-09,2026-07-10
EIL,Express Insurance Limited,34.2,35,Weak,72,17.2,EXTENDED,32.5,34.6,inside bands (+0.9σ),bearish,watch-bullish,deteriorating,accumulation,high,19.91,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.41,0.417,0.436,0.2364,4064,41.0,-1.08,39,RSI<30 oversold,60.9,3.57,64,40.7,-61.4,-3.75,1.02,6.5,B,unavailable,2026-07-09,2026-07-10
EMERALDOIL,Emerald Oil Industries Ltd.,28.8,0,High risk,75,46.8,EXTENDED,23.0,28.9,inside bands (-1.1σ),bearish,none,stable,neutral,high,-10.37,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.656,0.514,0.436,0.2367,1189,65.6,9.17,90,52w-high breakout,65.6,9.17,90,57.3,-94.1,-4.73,1.14,83.9,Z,0.1,2026-07-09,2026-07-10
ENVOYTEX,Envoy Textiles Limited,58.8,55,Mixed,82,16.1,EXTENDED,49.9,59.8,above upper band,bullish,none,improving,accumulation,high,58.32,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,59.8,3.4,87,37.5,-38.8,-3.28,0.71,5.9,A,unavailable,2026-07-09,2026-07-10
EPGL,Energypac Power Generation PLC.,21.0,7,High risk,54,12.5,fair,19.7,21.4,inside bands (+0.6σ),bearish,watch-bullish,deteriorating,accumulation,high,32.86,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.226,0.285,0.436,0.2364,4064,22.6,-4.57,31,Below lower Bollinger,68.9,3.2,45,43.1,-85.4,-3.92,1.47,6.9,B,0.1,2026-07-09,2026-07-10
