scrip,kind,a,b,c,d
DOREENPWR,signal,52w-low breakdown,82,61.0,0.26
DOREENPWR,signal,MACD bull cross,66,50.0,0.2
DOREENPWR,signal,Above upper Bollinger,132,62.1,0.05
DOREENPWR,signal,Bullish Harami,92,51.1,-0.06
DOREENPWR,signal,Three Outside Down,68,61.8,-0.18
DOREENPWR,signal,Bearish Harami,32,50.0,-0.22
DOREENPWR,signal,Three Black Crows,34,50.0,-0.23
DOREENPWR,signal,Stochastic>80,206,54.9,-0.24
DOREENPWR,signal,Bullish Engulfing,66,45.5,-0.75
DOREENPWR,signal,Stochastic<20,509,39.7,-0.78
DOREENPWR,signal,Below lower Bollinger,96,42.7,-0.83
DOREENPWR,signal,RSI<30 oversold,139,36.0,-0.93
DOREENPWR,signal,Evening Star,32,56.2,-0.97
DOREENPWR,signal,Inverted Hammer,36,44.4,-1.07
DOREENPWR,signal,MACD bear cross,66,50.0,-1.08
DOREENPWR,signal,Morning Star,48,37.5,-1.13
DOREENPWR,signal,Stretch<-30% vs MA200,158,32.9,-2.22
DOREENPWR,bounce,2025-04-16,21.6,27.7,28
DOREENPWR,bounce,2025-04-29,24.1,28.8,20
DOREENPWR,bounce,2025-06-22,21.7,27.9,29
DOREENPWR,bounce,2025-08-13,24.4,33.8,39
DOREENPWR,bounce,2025-11-05,24.9,33.8,36
DOREENPWR,bounce,2026-01-14,26.6,31.6,19
DOREENPWR,bounce,2026-03-08,24.5,31.3,28
DOREENPWR,bounce,2026-05-11,28.0,33.5,20
DSHGARME,signal,Stretch<-30% vs MA200,301,55.5,16.01
DSHGARME,signal,Inverted Hammer,95,50.5,9.35
DSHGARME,signal,RSI<30 oversold,146,65.1,4.28
DSHGARME,signal,Stochastic<20,1091,48.2,4.1
DSHGARME,signal,52w-high breakout,97,54.6,3.95
DSHGARME,signal,Morning Star,104,51.9,2.85
DSHGARME,signal,Below lower Bollinger,181,57.5,2.04
DSHGARME,signal,Bullish Engulfing,86,47.7,1.55
DSHGARME,signal,Price reclaims MA200,65,44.6,1.49
DSHGARME,signal,Double Bottom,77,39.0,1.38
DSHGARME,signal,Stretch>50% vs MA200,370,56.2,0.76
DSHGARME,signal,Bullish Harami,203,48.3,0.27
DSHGARME,signal,Bearish Harami,42,57.1,0.07
DSHGARME,signal,Below the Stomach,65,60.0,0.01
DSHGARME,signal,Three Outside Down,107,54.2,-0.16
DSHGARME,signal,Three Black Crows,88,48.9,-0.59
DSHGARME,signal,MACD bull cross,132,40.9,-0.83
DSHGARME,signal,Stochastic>80,460,55.9,-1.06
DSHGARME,signal,Bearish Engulfing,206,52.4,-1.15
DSHGARME,signal,Above the Stomach,97,42.3,-1.75
DSHGARME,signal,Above upper Bollinger,288,56.9,-3.44
DSHGARME,signal,RSI>70 overbought,219,54.3,-3.58
DSHGARME,signal,52w-low breakdown,110,49.1,-4.09
DSHGARME,signal,Double Top,95,54.7,-4.21
DSHGARME,signal,Dark Cloud Cover,36,58.3,-6.03
DSHGARME,signal,MACD bear cross,132,53.8,-8.29
DSHGARME,signal,Bearish Marubozu,34,50.0,-11.01
DSHGARME,signal,Evening Star,54,42.6,-13.63
DSHGARME,signal,Shooting Star,35,60.0,-19.78
DSHGARME,bounce,2025-11-23,96.0,114.9,20
DSHGARME,bounce,2025-12-04,103.0,119.0,16
DSHGARME,bounce,2025-12-21,105.1,122.9,17
DSHGARME,bounce,2026-01-29,92.4,123.0,33
DSHGARME,bounce,2026-04-20,109.0,134.0,23
DSHGARME,bounce,2026-04-27,116.0,142.7,23
DSHGARME,bounce,2026-05-18,116.6,160.5,38
DSHGARME,bounce,2026-06-23,141.0,164.0,16
DSSL,signal,Stretch<-30% vs MA200,106,71.7,6.14
DSSL,signal,52w-high breakout,38,55.3,4.37
DSSL,signal,Price reclaims MA200,44,54.5,3.54
DSSL,signal,RSI<30 oversold,107,52.3,2.91
DSSL,signal,Bullish Engulfing,42,47.6,2.11
DSSL,signal,Below lower Bollinger,122,51.6,1.95
DSSL,signal,Stretch>50% vs MA200,100,61.0,1.72
DSSL,signal,Stochastic<20,552,49.8,1.09
DSSL,signal,MACD bear cross,69,63.8,0.65
DSSL,signal,Bearish Marubozu,34,61.8,0.4
DSSL,signal,Double Bottom,30,50.0,-0.1
DSSL,signal,Bullish Harami,130,46.9,-0.23
DSSL,signal,Three Black Crows,72,55.6,-0.35
DSSL,signal,Above the Stomach,43,48.8,-0.41
DSSL,signal,Three Outside Down,99,57.6,-0.73
DSSL,signal,Morning Star,44,29.5,-1.2
DSSL,signal,Bearish Engulfing,192,52.6,-1.6
DSSL,signal,MACD bull cross,72,43.1,-1.97
DSSL,signal,Double Top,30,56.7,-2.55
DSSL,signal,Stochastic>80,235,52.3,-2.61
DSSL,signal,Above upper Bollinger,120,45.0,-3.92
DSSL,signal,52w-low breakdown,45,40.0,-4.12
DSSL,signal,RSI>70 overbought,113,41.6,-4.94
DSSL,bounce,2025-06-23,8.4,10.8,29
DSSL,bounce,2025-07-13,9.9,11.8,19
DSSL,bounce,2025-11-16,6.9,8.9,29
DSSL,bounce,2026-01-29,7.6,9.6,26
DSSL,bounce,2026-03-08,8.0,10.0,25
DSSL,bounce,2026-04-06,8.8,10.4,18
DSSL,bounce,2026-05-18,9.2,11.5,25
DSSL,bounce,2026-06-22,10.5,14.2,35
DULAMIACOT,signal,RSI<30 oversold,57,77.2,8.3
DULAMIACOT,signal,Stretch<-30% vs MA200,410,52.0,7.62
DULAMIACOT,signal,Stochastic<20,891,58.7,7.02
DULAMIACOT,signal,Below lower Bollinger,160,60.6,5.87
DULAMIACOT,signal,Stretch>50% vs MA200,351,58.4,4.0
DULAMIACOT,signal,Morning Star,77,49.4,3.83
DULAMIACOT,signal,Bullish Marubozu,56,41.1,1.81
DULAMIACOT,signal,Stochastic>80,456,60.5,1.8
DULAMIACOT,signal,Above upper Bollinger,261,58.2,1.69
DULAMIACOT,signal,Bullish Harami,197,49.2,1.68
DULAMIACOT,signal,RSI>70 overbought,168,57.7,1.09
DULAMIACOT,signal,Price reclaims MA200,108,44.4,1.08
DULAMIACOT,signal,Bullish Engulfing,66,50.0,0.99
DULAMIACOT,signal,Inverted Hammer,86,44.2,0.7
DULAMIACOT,signal,Hanging Man,43,51.2,0.35
DULAMIACOT,signal,52w-high breakout,83,50.6,-0.43
DULAMIACOT,signal,Double Bottom,79,43.0,-0.55
DULAMIACOT,signal,Shooting Star,43,58.1,-1.31
DULAMIACOT,signal,Bearish Harami,66,48.5,-1.35
DULAMIACOT,signal,Bearish Engulfing,203,50.7,-1.38
DULAMIACOT,signal,Three Black Crows,41,51.2,-1.65
DULAMIACOT,signal,MACD bull cross,143,42.0,-2.02
DULAMIACOT,signal,Three Outside Down,60,48.3,-3.17
DULAMIACOT,signal,Above the Stomach,70,37.1,-3.17
DULAMIACOT,signal,Double Top,78,43.6,-4.78
DULAMIACOT,signal,Below the Stomach,83,41.0,-5.37
DULAMIACOT,signal,Bearish Marubozu,107,43.0,-5.97
DULAMIACOT,signal,MACD bear cross,144,45.1,-7.13
DULAMIACOT,signal,52w-low breakdown,43,25.6,-9.02
DULAMIACOT,signal,Evening Star,32,53.1,-9.71
DULAMIACOT,bounce,2025-11-16,112.0,138.9,24
DULAMIACOT,bounce,2025-12-21,125.3,145.0,16
DULAMIACOT,bounce,2026-02-08,121.0,148.0,22
DULAMIACOT,bounce,2026-03-09,110.0,131.9,20
DULAMIACOT,bounce,2026-04-12,116.1,138.0,19
DULAMIACOT,bounce,2026-04-30,122.5,185.0,51
DULAMIACOT,bounce,2026-06-14,160.3,188.9,18
DULAMIACOT,bounce,2026-06-21,170.0,209.0,23
DUTCHBANGL,signal,Stretch>50% vs MA200,31,90.3,20.78
DUTCHBANGL,signal,Stretch<-30% vs MA200,391,62.4,11.24
DUTCHBANGL,signal,Stochastic>80,420,63.3,4.8
DUTCHBANGL,signal,Stochastic<20,1042,53.0,4.28
DUTCHBANGL,signal,RSI>70 overbought,202,62.9,3.26
DUTCHBANGL,signal,Bullish Engulfing,136,50.7,3.05
DUTCHBANGL,signal,Morning Star,73,47.9,2.77
DUTCHBANGL,signal,Three Outside Up,52,50.0,2.43
DUTCHBANGL,signal,Bullish Harami,146,53.4,2.31
DUTCHBANGL,signal,Below lower Bollinger,189,50.8,2.12
DUTCHBANGL,signal,Above upper Bollinger,275,57.5,2.09
DUTCHBANGL,signal,Tweezer Bottom,30,56.7,1.5
DUTCHBANGL,signal,Hanging Man,51,54.9,1.46
DUTCHBANGL,signal,52w-high breakout,41,48.8,1.04
DUTCHBANGL,signal,RSI<30 oversold,216,45.8,0.98
DUTCHBANGL,signal,Three Outside Down,93,52.7,0.83
DUTCHBANGL,signal,Bearish Engulfing,213,52.6,0.17
DUTCHBANGL,signal,Above the Stomach,75,50.7,-0.45
DUTCHBANGL,signal,Bearish Harami,84,57.1,-0.58
DUTCHBANGL,signal,Three Black Crows,42,66.7,-0.91
DUTCHBANGL,signal,Inverted Hammer,115,43.5,-1.15
DUTCHBANGL,signal,MACD bear cross,155,43.9,-1.57
DUTCHBANGL,signal,Evening Star,50,44.0,-2.14
DUTCHBANGL,signal,Double Top,36,27.8,-3.29
DUTCHBANGL,signal,MACD bull cross,154,37.7,-5.05
DUTCHBANGL,signal,Below the Stomach,71,35.2,-5.65
DUTCHBANGL,signal,Double Bottom,37,40.5,-6.84
DUTCHBANGL,signal,Price reclaims MA200,86,36.0,-8.57
DUTCHBANGL,signal,52w-low breakdown,87,31.0,-9.68
DUTCHBANGL,bounce,2024-03-28,48.3,58.1,20
DUTCHBANGL,bounce,2024-08-06,40.4,54.3,34
DUTCHBANGL,bounce,2024-10-30,40.5,48.5,20
DUTCHBANGL,bounce,2025-04-30,38.2,44.2,16
DUTCHBANGL,bounce,2025-06-01,37.5,49.0,31
DUTCHBANGL,bounce,2025-11-16,36.1,41.7,16
DUTCHBANGL,bounce,2025-12-28,37.4,45.0,20
DUTCHBANGL,bounce,2026-04-21,39.0,48.0,23
EASTERNINS,signal,Hanging Man,55,80.0,4.27
EASTERNINS,signal,RSI<30 oversold,200,53.5,2.99
EASTERNINS,signal,Stretch<-30% vs MA200,389,53.2,2.68
EASTERNINS,signal,Bullish Marubozu,49,55.1,2.65
EASTERNINS,signal,Below lower Bollinger,219,60.7,2.39
EASTERNINS,signal,Stochastic<20,1099,51.7,2.04
EASTERNINS,signal,Three Outside Up,37,43.2,2.02
EASTERNINS,signal,Price reclaims MA200,102,50.0,1.7
EASTERNINS,signal,Three Black Crows,59,59.3,1.68
EASTERNINS,signal,Bearish Marubozu,42,59.5,0.95
EASTERNINS,signal,Stochastic>80,473,61.5,0.92
EASTERNINS,signal,Bullish Harami,179,49.7,0.7
EASTERNINS,signal,Bullish Engulfing,104,47.1,0.6
EASTERNINS,signal,Inverted Hammer,102,43.1,0.52
EASTERNINS,signal,Morning Star,89,42.7,0.39
EASTERNINS,signal,MACD bull cross,179,42.5,-0.1
EASTERNINS,signal,Stretch>50% vs MA200,203,55.7,-0.37
EASTERNINS,signal,Bearish Engulfing,193,54.4,-0.55
EASTERNINS,signal,Double Bottom,90,41.1,-0.63
EASTERNINS,signal,Bearish Harami,101,55.4,-1.16
EASTERNINS,signal,Above upper Bollinger,258,58.9,-1.25
EASTERNINS,signal,Three Outside Down,94,51.1,-1.86
EASTERNINS,signal,Shooting Star,36,58.3,-1.96
EASTERNINS,signal,Evening Star,59,45.8,-2.2
EASTERNINS,signal,Above the Stomach,97,47.4,-2.56
EASTERNINS,signal,Double Top,86,44.2,-2.94
EASTERNINS,signal,52w-low breakdown,118,42.4,-3.6
EASTERNINS,signal,MACD bear cross,178,45.5,-3.64
EASTERNINS,signal,Below the Stomach,79,45.6,-3.81
EASTERNINS,signal,RSI>70 overbought,198,58.6,-3.82
EASTERNINS,signal,52w-high breakout,71,36.6,-5.83
EASTERNINS,bounce,2025-05-29,35.6,50.0,40
EASTERNINS,bounce,2025-08-14,43.0,59.0,37
EASTERNINS,bounce,2025-09-22,47.4,57.3,21
EASTERNINS,bounce,2025-11-13,40.1,46.9,17
EASTERNINS,bounce,2025-11-23,43.0,52.0,21
EASTERNINS,bounce,2025-12-18,45.4,58.5,29
EASTERNINS,bounce,2026-04-06,50.0,64.0,28
EASTERNINS,bounce,2026-05-21,52.3,65.8,26
EASTLAND,signal,Stretch>50% vs MA200,38,84.2,10.7
EASTLAND,signal,Stretch<-30% vs MA200,210,62.4,4.62
EASTLAND,signal,RSI<30 oversold,160,63.1,3.33
EASTLAND,signal,Below lower Bollinger,203,53.2,2.96
EASTLAND,signal,RSI>70 overbought,165,67.9,2.32
EASTLAND,signal,Inverted Hammer,95,60.0,1.58
EASTLAND,signal,Stochastic<20,1163,53.1,1.5
EASTLAND,signal,Stochastic>80,520,58.5,1.29
EASTLAND,signal,Three Outside Down,141,53.9,0.89
EASTLAND,signal,Bearish Engulfing,284,58.1,0.55
EASTLAND,signal,Above upper Bollinger,255,55.7,0.45
EASTLAND,signal,Double Top,81,51.9,0.2
EASTLAND,signal,Bullish Engulfing,94,43.6,0.16
EASTLAND,signal,Three Outside Up,39,41.0,0.12
EASTLAND,signal,Three Inside Up,31,41.9,-0.21
EASTLAND,signal,Morning Star,108,47.2,-0.53
EASTLAND,signal,Bullish Harami,222,46.8,-0.69
EASTLAND,signal,MACD bull cross,159,41.5,-1.5
EASTLAND,signal,Bearish Harami,80,46.2,-1.81
EASTLAND,signal,Shooting Star,30,46.7,-1.92
EASTLAND,signal,Evening Star,47,55.3,-1.97
EASTLAND,signal,Above the Stomach,119,37.0,-2.0
EASTLAND,signal,Bearish Marubozu,48,45.8,-2.34
EASTLAND,signal,MACD bear cross,159,49.7,-2.82
EASTLAND,signal,Price reclaims MA200,99,43.4,-3.14
EASTLAND,signal,Three Black Crows,59,52.5,-3.31
EASTLAND,signal,Double Bottom,51,31.4,-3.59
EASTLAND,signal,Below the Stomach,81,55.6,-3.67
EASTLAND,signal,52w-low breakdown,97,36.1,-3.88
EASTLAND,signal,52w-high breakout,46,32.6,-6.39
EASTLAND,bounce,2024-10-28,16.6,22.3,34
EASTLAND,bounce,2025-06-23,16.1,20.6,28
EASTLAND,bounce,2025-08-11,17.7,23.5,33
EASTLAND,bounce,2025-09-23,19.8,23.1,17
EASTLAND,bounce,2025-11-16,15.7,19.5,24
EASTLAND,bounce,2025-12-07,17.7,23.5,33
EASTLAND,bounce,2026-03-24,19.9,24.4,23
EASTLAND,bounce,2026-05-04,21.5,27.6,28
EASTRNLUB,signal,Stretch<-30% vs MA200,284,61.6,15.72
EASTRNLUB,signal,Below lower Bollinger,207,60.4,10.69
EASTRNLUB,signal,Stochastic<20,1655,58.3,9.46
EASTRNLUB,signal,Inverted Hammer,148,59.5,7.2
EASTRNLUB,signal,Stretch>50% vs MA200,497,61.2,4.84
EASTRNLUB,signal,Stochastic>80,675,64.4,4.01
EASTRNLUB,signal,RSI<30 oversold,116,63.8,3.74
EASTRNLUB,signal,Three Outside Up,40,42.5,3.67
EASTRNLUB,signal,Bullish Marubozu,47,46.8,3.1
EASTRNLUB,signal,Bullish Engulfing,88,46.6,3.07
EASTRNLUB,signal,Bearish Harami,62,66.1,3.04
EASTRNLUB,signal,Above upper Bollinger,363,58.1,2.24
EASTRNLUB,signal,Bullish Harami,167,45.5,1.33
EASTRNLUB,signal,RSI>70 overbought,266,63.9,0.96
EASTRNLUB,signal,Morning Star,117,44.4,0.15
EASTRNLUB,signal,Tweezer Bottom,32,40.6,-0.06
EASTRNLUB,signal,52w-high breakout,121,45.5,-0.5
EASTRNLUB,signal,Shooting Star,53,58.5,-0.52
EASTRNLUB,signal,Bearish Engulfing,200,58.5,-0.55
EASTRNLUB,signal,Three Outside Down,108,55.6,-0.55
EASTRNLUB,signal,Above the Stomach,142,33.8,-0.8
EASTRNLUB,signal,Price reclaims MA200,152,34.9,-1.51
EASTRNLUB,signal,Double Bottom,88,35.2,-1.77
EASTRNLUB,signal,Bearish Marubozu,51,45.1,-1.85
EASTRNLUB,signal,52w-low breakdown,79,41.8,-2.8
EASTRNLUB,signal,Evening Star,70,54.3,-3.21
EASTRNLUB,signal,Three Black Crows,83,43.4,-4.28
EASTRNLUB,signal,Hanging Man,58,53.4,-6.19
EASTRNLUB,signal,MACD bull cross,214,32.2,-6.43
EASTRNLUB,signal,Below the Stomach,173,43.4,-6.65
EASTRNLUB,signal,MACD bear cross,214,46.7,-9.92
EASTRNLUB,signal,Double Top,90,44.4,-11.87
EASTRNLUB,bounce,2025-02-09,888.0,1355.3,53
EASTRNLUB,bounce,2025-03-27,1246.7,1773.6,42
EASTRNLUB,bounce,2025-05-04,1352.7,1564.7,16
EASTRNLUB,bounce,2025-05-20,1348.0,1826.8,36
EASTRNLUB,bounce,2025-07-07,1648.7,2114.1,28
EASTRNLUB,bounce,2025-11-13,1616.7,1860.0,15
EASTRNLUB,bounce,2026-03-08,1435.0,1692.0,18
EASTRNLUB,bounce,2026-04-19,1507.3,1963.0,30
EBL,signal,Stretch>50% vs MA200,108,73.1,11.7
EBL,signal,Stochastic<20,1148,64.5,7.01
EBL,signal,Below lower Bollinger,214,57.5,4.93
EBL,signal,Above upper Bollinger,366,58.2,4.37
EBL,signal,Stochastic>80,873,60.6,4.34
EBL,signal,Inverted Hammer,115,60.0,3.06
EBL,signal,Bullish Engulfing,121,55.4,2.61
EBL,signal,Stretch<-30% vs MA200,319,58.0,2.39
EBL,signal,Hanging Man,66,59.1,1.66
EBL,signal,RSI<30 oversold,236,59.3,1.42
EBL,signal,Three White Soldiers,31,58.1,1.05
EBL,signal,RSI>70 overbought,260,53.5,0.87
EBL,signal,Bullish Marubozu,47,61.7,0.1
EBL,signal,Bearish Engulfing,279,53.8,-0.02
EBL,signal,Above the Stomach,117,45.3,-0.03
EBL,signal,Three Outside Up,51,56.9,-0.19
EBL,signal,Bearish Harami,131,48.9,-0.44
EBL,signal,Shooting Star,32,59.4,-0.74
EBL,signal,Bullish Harami,184,51.1,-1.18
EBL,signal,Price reclaims MA200,145,47.6,-1.22
EBL,signal,Three Outside Down,114,53.5,-1.32
EBL,signal,Evening Star,68,38.2,-1.42
EBL,signal,Morning Star,101,34.7,-1.54
EBL,signal,Three Black Crows,51,47.1,-3.1
EBL,signal,MACD bull cross,229,38.4,-4.22
EBL,signal,MACD bear cross,227,43.6,-4.75
EBL,signal,Bearish Marubozu,49,26.5,-5.65
EBL,signal,Below the Stomach,124,50.0,-5.85
EBL,signal,Double Bottom,67,32.8,-5.85
EBL,signal,52w-low breakdown,57,35.1,-7.13
EBL,signal,Double Top,59,37.3,-8.22
EBL,signal,52w-high breakout,93,24.7,-9.28
EBL,bounce,2021-06-28,21.7,27.7,28
EBL,bounce,2024-01-21,19.8,24.1,22
EBL,bounce,2024-01-30,20.6,23.9,16
EBL,bounce,2024-06-04,20.6,25.0,21
EBL,bounce,2024-11-26,18.9,22.6,19
EBL,bounce,2025-04-30,20.1,26.6,32
EBL,bounce,2025-11-16,21.2,28.1,33
EBL,bounce,2026-03-09,23.6,27.5,16
EBL1STMF,signal,Stretch>50% vs MA200,31,83.9,6.95
EBL1STMF,signal,Stretch<-30% vs MA200,85,60.0,4.85
EBL1STMF,signal,RSI<30 oversold,144,52.8,2.75
EBL1STMF,signal,Inverted Hammer,49,44.9,1.97
EBL1STMF,signal,Bullish Engulfing,47,44.7,1.29
EBL1STMF,signal,Three Outside Down,85,57.6,0.53
EBL1STMF,signal,Bearish Engulfing,305,63.0,-0.04
EBL1STMF,signal,MACD bull cross,116,46.6,-0.16
EBL1STMF,signal,Below lower Bollinger,155,46.5,-0.19
EBL1STMF,signal,Below the Stomach,51,54.9,-0.28
EBL1STMF,signal,Bearish Harami,98,54.1,-0.32
EBL1STMF,signal,Double Top,41,46.3,-0.51
EBL1STMF,signal,Stochastic>80,320,56.9,-0.51
EBL1STMF,signal,Bullish Harami,232,40.9,-0.54
EBL1STMF,signal,MACD bear cross,112,53.6,-0.6
EBL1STMF,signal,Above upper Bollinger,216,60.6,-0.6
EBL1STMF,signal,Bullish Marubozu,160,43.8,-0.85
EBL1STMF,signal,Stochastic<20,903,40.6,-1.06
EBL1STMF,signal,RSI>70 overbought,129,55.8,-1.13
EBL1STMF,signal,Tweezer Bottom,53,41.5,-1.36
EBL1STMF,signal,52w-high breakout,34,50.0,-1.53
EBL1STMF,signal,52w-low breakdown,105,49.5,-1.91
EBL1STMF,signal,Price reclaims MA200,55,30.9,-2.04
EBL1STMF,signal,Morning Star,58,29.3,-2.14
EBL1STMF,signal,Bearish Marubozu,165,50.3,-2.25
EBL1STMF,signal,Above the Stomach,47,29.8,-2.6
EBL1STMF,signal,Three Inside Up,31,29.0,-2.66
EBL1STMF,signal,Double Bottom,37,21.6,-3.58
EBL1STMF,bounce,2025-08-24,3.9,4.6,18
EBL1STMF,bounce,2025-11-16,2.6,3.5,35
EBL1STMF,bounce,2025-11-24,3.0,4.1,37
EBL1STMF,bounce,2025-12-30,2.9,3.4,17
EBL1STMF,bounce,2026-01-26,2.9,4.0,38
EBL1STMF,bounce,2026-03-08,3.4,4.2,24
EBL1STMF,bounce,2026-05-06,3.6,4.4,22
EBL1STMF,bounce,2026-05-18,3.6,4.3,19
EBLNRBMF,signal,Stretch<-30% vs MA200,63,61.9,6.69
EBLNRBMF,signal,RSI>70 overbought,98,62.2,1.71
EBLNRBMF,signal,Above upper Bollinger,148,65.5,0.35
EBLNRBMF,signal,Stochastic>80,258,60.5,0.29
EBLNRBMF,signal,52w-low breakdown,50,60.0,0.29
EBLNRBMF,signal,Morning Star,72,51.4,0.19
EBLNRBMF,signal,Double Bottom,34,47.1,0.16
EBLNRBMF,signal,Bullish Marubozu,129,44.2,0.09
EBLNRBMF,signal,Tweezer Bottom,33,48.5,0.0
EBLNRBMF,signal,Stochastic<20,554,46.2,-0.07
EBLNRBMF,signal,Three Outside Down,64,56.2,-0.15
EBLNRBMF,signal,Bullish Harami,208,43.8,-0.4
EBLNRBMF,signal,RSI<30 oversold,83,41.0,-0.42
EBLNRBMF,signal,MACD bull cross,93,37.6,-0.77
EBLNRBMF,signal,Below the Stomach,43,51.2,-0.99
EBLNRBMF,signal,Bearish Marubozu,140,50.0,-1.12
EBLNRBMF,signal,Bearish Harami,94,50.0,-1.22
EBLNRBMF,signal,Double Top,49,49.0,-1.28
EBLNRBMF,signal,MACD bear cross,88,47.7,-1.31
EBLNRBMF,signal,Below lower Bollinger,136,40.4,-1.48
EBLNRBMF,signal,Bearish Engulfing,268,52.6,-1.59
EBLNRBMF,signal,Price reclaims MA200,47,36.2,-3.26
EBLNRBMF,bounce,2025-03-25,3.4,4.2,24
EBLNRBMF,bounce,2025-05-07,3.5,4.1,17
EBLNRBMF,bounce,2025-11-13,2.0,2.5,25
EBLNRBMF,bounce,2025-11-23,2.2,2.8,27
EBLNRBMF,bounce,2026-02-08,2.3,3.0,30
EBLNRBMF,bounce,2026-03-01,2.5,2.9,16
EBLNRBMF,bounce,2026-03-08,2.4,3.5,46
EBLNRBMF,bounce,2026-05-07,3.0,3.7,23
ECABLES,signal,Below lower Bollinger,240,61.3,12.04
ECABLES,signal,RSI<30 oversold,154,61.7,8.35
ECABLES,signal,Above upper Bollinger,385,74.8,7.36
ECABLES,signal,Stochastic<20,1910,64.9,7.35
ECABLES,signal,RSI>70 overbought,187,70.1,6.23
ECABLES,signal,Stretch>50% vs MA200,196,73.0,6.01
ECABLES,signal,Stochastic>80,801,72.3,5.99
ECABLES,signal,Stretch<-30% vs MA200,270,51.9,3.29
ECABLES,signal,Inverted Hammer,172,57.6,3.1
ECABLES,signal,Dark Cloud Cover,35,60.0,2.5
ECABLES,signal,Tweezer Bottom,48,54.2,1.74
ECABLES,signal,Bullish Engulfing,126,48.4,1.48
ECABLES,signal,Shooting Star,87,58.6,0.06
ECABLES,signal,Morning Star,137,43.1,-0.29
ECABLES,signal,Bullish Harami,246,42.3,-1.06
ECABLES,signal,Above the Stomach,198,44.9,-1.31
ECABLES,signal,Evening Star,78,51.3,-1.75
ECABLES,signal,Bearish Engulfing,265,51.7,-1.87
ECABLES,signal,Three Outside Up,52,38.5,-2.04
ECABLES,signal,Bearish Harami,110,54.5,-2.12
ECABLES,signal,52w-low breakdown,86,41.9,-2.28
ECABLES,signal,Price reclaims MA200,314,39.2,-2.4
ECABLES,signal,Three White Soldiers,32,37.5,-2.52
ECABLES,signal,Three Outside Down,146,47.9,-3.47
ECABLES,signal,Hanging Man,54,53.7,-4.65
ECABLES,signal,Below the Stomach,181,39.2,-4.72
ECABLES,signal,Three Black Crows,106,44.3,-4.86
ECABLES,signal,MACD bull cross,280,35.7,-4.89
ECABLES,signal,Double Bottom,99,26.3,-5.5
ECABLES,signal,Bearish Marubozu,72,34.7,-6.46
ECABLES,signal,MACD bear cross,284,45.4,-7.38
ECABLES,signal,Double Top,112,39.3,-9.66
ECABLES,signal,52w-high breakout,87,27.6,-10.64
ECABLES,signal,Head & Shoulders,36,19.4,-12.88
ECABLES,bounce,2025-07-29,112.1,129.8,16
ECABLES,bounce,2025-08-12,118.0,139.2,18
ECABLES,bounce,2025-08-20,128.0,150.8,18
ECABLES,bounce,2025-10-20,110.1,127.0,15
ECABLES,bounce,2025-11-16,99.0,119.0,20
ECABLES,bounce,2025-12-04,106.5,127.0,19
ECABLES,bounce,2026-02-22,105.0,122.9,17
ECABLES,bounce,2026-03-08,107.6,137.8,28
EGEN,signal,RSI>70 overbought,30,56.7,1.15
EGEN,signal,Bearish Engulfing,61,62.3,0.84
EGEN,signal,RSI<30 oversold,43,51.2,0.57
EGEN,signal,Below lower Bollinger,50,48.0,0.54
EGEN,signal,Bullish Engulfing,37,43.2,-0.33
EGEN,signal,MACD bear cross,36,58.3,-0.82
EGEN,signal,Stochastic<20,218,44.0,-0.99
EGEN,signal,Stochastic>80,94,56.4,-1.14
EGEN,signal,52w-low breakdown,37,43.2,-1.53
EGEN,signal,Bullish Harami,50,36.0,-1.79
EGEN,signal,Three Outside Down,33,48.5,-2.11
EGEN,signal,MACD bull cross,34,35.3,-2.39
EGEN,signal,Above upper Bollinger,55,45.5,-3.77
EGEN,bounce,2025-07-29,19.9,33.0,66
EGEN,bounce,2025-09-22,25.1,29.1,16
EGEN,bounce,2025-10-16,21.0,25.4,21
EGEN,bounce,2025-11-16,16.5,22.1,34
EGEN,bounce,2025-12-07,18.9,22.3,18
EGEN,bounce,2026-01-18,18.8,22.9,22
EGEN,bounce,2026-03-08,18.9,24.8,31
EGEN,bounce,2026-04-29,22.4,27.1,21
EHL,signal,Stretch<-30% vs MA200,243,67.5,17.12
EHL,signal,Below lower Bollinger,288,57.6,14.01
EHL,signal,Stretch>50% vs MA200,246,72.4,12.87
EHL,signal,Stochastic<20,1937,60.7,6.45
EHL,signal,RSI<30 oversold,210,59.0,4.79
EHL,signal,Above upper Bollinger,415,68.9,4.67
EHL,signal,Stochastic>80,946,67.1,4.47
EHL,signal,RSI>70 overbought,216,67.1,4.36
EHL,signal,Inverted Hammer,154,57.1,3.47
EHL,signal,Above the Stomach,214,46.7,3.24
EHL,signal,Three Outside Up,53,47.2,2.14
EHL,signal,Dark Cloud Cover,34,61.8,1.49
EHL,signal,Bullish Harami,288,49.7,1.39
EHL,signal,Bullish Engulfing,138,45.7,1.07
EHL,signal,Shooting Star,73,68.5,0.96
EHL,signal,Hanging Man,30,56.7,0.85
EHL,signal,Three Black Crows,138,50.7,0.44
EHL,signal,Three Inside Up,50,46.0,-0.06
EHL,signal,Three Outside Down,191,48.2,-0.62
EHL,signal,Morning Star,145,44.8,-0.68
EHL,signal,Bearish Engulfing,383,52.0,-1.03
EHL,signal,Price reclaims MA200,241,35.3,-1.41
EHL,signal,MACD bull cross,289,35.3,-2.3
